hello	ہیلو
hi	ہیلو
assalam o alaikum	السلام علیکم
please assalam o alaikum	براہ کرم السلام علیکم
kindly assalam o alaikum	مہربانی فرما کر السلام علیکم
sir, assalam o alaikum	جناب، السلام علیکم
madam, assalam o alaikum	محترمہ، السلام علیکم
good morning	صبح بخیر
please good morning	براہ کرم صبح بخیر
kindly good morning	مہربانی فرما کر صبح بخیر
sir, good morning	جناب، صبح بخیر
madam, good morning	محترمہ، صبح بخیر
good evening	شام بخیر
please good evening	براہ کرم شام بخیر
kindly good evening	مہربانی فرما کر شام بخیر
sir, good evening	جناب، شام بخیر
madam, good evening	محترمہ، شام بخیر
good night	شب بخیر
please good night	براہ کرم شب بخیر
kindly good night	مہربانی فرما کر شب بخیر
sir, good night	جناب، شب بخیر
madam, good night	محترمہ، شب بخیر
how are you?	آپ کیسے ہیں؟
please how are you?	براہ کرم آپ کیسے ہیں؟
kindly how are you?	مہربانی فرما کر آپ کیسے ہیں؟
sir, how are you?	جناب، آپ کیسے ہیں؟
madam, how are you?	محترمہ، آپ کیسے ہیں؟
i am fine	میں ٹھیک ہوں
please i am fine	براہ کرم میں ٹھیک ہوں
kindly i am fine	مہربانی فرما کر میں ٹھیک ہوں
sir, i am fine	جناب، میں ٹھیک ہوں
madam, i am fine	محترمہ، میں ٹھیک ہوں
thanks	شکریہ
thank you very much	بہت شکریہ
please thank you very much	براہ کرم بہت شکریہ
kindly thank you very much	مہربانی فرما کر بہت شکریہ
sir, thank you very much	جناب، بہت شکریہ
madam, thank you very much	محترمہ، بہت شکریہ
please	براہ کرم
sorry	معاف کیجیے
excuse me	معاف کیجیے گا
please excuse me	براہ کرم معاف کیجیے گا
kindly excuse me	مہربانی فرما کر معاف کیجیے گا
sir, excuse me	جناب، معاف کیجیے گا
madam, excuse me	محترمہ، معاف کیجیے گا
yes	جی ہاں
no	نہیں
maybe	شاید
okay	ٹھیک ہے
alright	ٹھیک ہے
great	بہترین
no problem	کوئی مسئلہ نہیں
please no problem	براہ کرم کوئی مسئلہ نہیں
kindly no problem	مہربانی فرما کر کوئی مسئلہ نہیں
sir, no problem	جناب، کوئی مسئلہ نہیں
madam, no problem	محترمہ، کوئی مسئلہ نہیں
i am happy	میں خوش ہوں
please i am happy	براہ کرم میں خوش ہوں
kindly i am happy	مہربانی فرما کر میں خوش ہوں
sir, i am happy	جناب، میں خوش ہوں
madam, i am happy	محترمہ، میں خوش ہوں
i am sad	میں اداس ہوں
please i am sad	براہ کرم میں اداس ہوں
kindly i am sad	مہربانی فرما کر میں اداس ہوں
sir, i am sad	جناب، میں اداس ہوں
madam, i am sad	محترمہ، میں اداس ہوں
i am busy	میں مصروف ہوں
please i am busy	براہ کرم میں مصروف ہوں
kindly i am busy	مہربانی فرما کر میں مصروف ہوں
sir, i am busy	جناب، میں مصروف ہوں
madam, i am busy	محترمہ، میں مصروف ہوں
i am tired	میں تھک گیا ہوں
please i am tired	براہ کرم میں تھک گیا ہوں
kindly i am tired	مہربانی فرما کر میں تھک گیا ہوں
sir, i am tired	جناب، میں تھک گیا ہوں
madam, i am tired	محترمہ، میں تھک گیا ہوں
that's great	یہ بہت اچھا ہے
please that's great	براہ کرم یہ بہت اچھا ہے
kindly that's great	مہربانی فرما کر یہ بہت اچھا ہے
sir, that's great	جناب، یہ بہت اچھا ہے
madam, that's great	محترمہ، یہ بہت اچھا ہے
i don't know	مجھے نہیں معلوم
please i don't know	براہ کرم مجھے نہیں معلوم
kindly i don't know	مہربانی فرما کر مجھے نہیں معلوم
sir, i don't know	جناب، مجھے نہیں معلوم
madam, i don't know	محترمہ، مجھے نہیں معلوم
take care	اپنا خیال رکھنا
please take care	براہ کرم اپنا خیال رکھنا
kindly take care	مہربانی فرما کر اپنا خیال رکھنا
