sir, good evening	جناب، شام بخیر
please speak slowly	براہ کرم آہستہ بولیں
madam, how can i go there?	محترمہ، میں وہاں کیسے جا سکتا ہوں؟
how much is the ticket?	ٹکٹ کتنے کا ہے؟
sir, please show me the way	جناب، راستہ بتا دیں
how are you?	آپ کیسے ہیں؟
sir, where can i find the market?	جناب، بازار کہاں ملے گا؟
please good night	براہ کرم شب بخیر
madam, good morning	محترمہ، صبح بخیر
madam, how are you?	محترمہ، آپ کیسے ہیں؟
i am fine	میں ٹھیک ہوں
please chai please	براہ کرم چائے چاہیے
madam, pakistan won the match	محترمہ، پاکستان نے میچ جیت لیا
madam, where is the mosque?	محترمہ، مسجد کہاں ہے؟
sir, pakistan won the match	جناب، پاکستان نے میچ جیت لیا
assalam o alaikum	السلام علیکم
sir, go straight	جناب، سیدھا جائیں
sir, what do you want?	جناب، آپ کیا چاہتے ہیں؟
turn left	بائیں مڑیں
madam, who are you?	محترمہ، آپ کون ہیں؟
kindly where is the hotel?	مہربانی فرما کر ہوٹل کہاں ہے؟
sir, no problem	جناب، کوئی مسئلہ نہیں
kindly call a taxi	مہربانی فرما کر ٹیکسی بلائیں
please well played	براہ کرم اچھا کھیلا
kindly continue straight	مہربانی فرما کر سیدھے جاتے رہیں
please call a taxi	براہ کرم ٹیکسی بلائیں
madam, where is the taxi stand?	محترمہ، ٹیکسی اسٹینڈ کہاں ہے؟
sir, show me the way	جناب، راستہ بتائیں
kindly is there free wifi?	مہربانی فرما کر کیا مفت وائی فائی ہے؟
kindly load shedding is happening	مہربانی فرما کر لوڈ شیڈنگ ہو رہی ہے
well played	اچھا کھیلا
why is it expensive?	یہ مہنگا کیوں ہے؟
go straight	سیدھا جائیں
madam, what is your name?	محترمہ، آپ کا نام کیا ہے؟
kindly what do you want?	مہربانی فرما کر آپ کیا چاہتے ہیں؟
kindly where is the bus stop?	مہربانی فرما کر بس اسٹاپ کہاں ہے؟
tea?	چائے؟
please where is the hotel?	براہ کرم ہوٹل کہاں ہے؟
please go straight	براہ کرم سیدھا جائیں
madam, how much is this?	محترمہ، یہ کتنے کا ہے؟
sir, that's great	جناب، یہ بہت اچھا ہے
sir, where is the taxi stand?	جناب، ٹیکسی اسٹینڈ کہاں ہے؟
sir, where is the bus stop?	جناب، بس اسٹاپ کہاں ہے؟
wait	انتظار کریں
madam, load shedding is happening	محترمہ، لوڈ شیڈنگ ہو رہی ہے
