sir, good evening	جناب، شام بخیر
please speak slowly	براہ کرم آہستہ بولیں
madam, how can i go there?	محترمہ، میں وہاں کیسے جا سکتا ہوں؟
how much is the ticket?	ٹکٹ کتنے کا ہے؟
sir, please show me the way	جناب، راستہ بتا دیں
how are you?	آپ کیسے ہیں؟
sir, where can i find the market?	جناب، بازار کہاں ملے گا؟
please good night	براہ کرم شب بخیر
madam, good morning	محترمہ، صبح بخیر
madam, how are you?	محترمہ، آپ کیسے ہیں؟
i am fine	میں ٹھیک ہوں
please chai please	براہ کرم چائے چاہیے
madam, pakistan won the match	محترمہ، پاکستان نے میچ جیت لیا
madam, where is the mosque?	محترمہ، مسجد کہاں ہے؟
sir, pakistan won the match	جناب، پاکستان نے میچ جیت لیا
assalam o alaikum	السلام علیکم
sir, go straight	جناب، سیدھا جائیں
sir, what do you want?	جناب، آپ کیا چاہتے ہیں؟
turn left	بائیں مڑیں
madam, who are you?	محترمہ، آپ کون ہیں؟
kindly where is the hotel?	مہربانی فرما کر ہوٹل کہاں ہے؟
sir, no problem	جناب، کوئی مسئلہ نہیں
kindly call a taxi	مہربانی فرما کر ٹیکسی بلائیں
please well played	براہ کرم اچھا کھیلا
kindly continue straight	مہربانی فرما کر سیدھے جاتے رہیں
please call a taxi	براہ کرم ٹیکسی بلائیں
madam, where is the taxi stand?	محترمہ، ٹیکسی اسٹینڈ کہاں ہے؟
sir, show me the way	جناب، راستہ بتائیں
kindly is there free wifi?	مہربانی فرما کر کیا مفت وائی فائی ہے؟
kindly load shedding is happening	مہربانی فرما کر لوڈ شیڈنگ ہو رہی ہے
well played	اچھا کھیلا
why is it expensive?	یہ مہنگا کیوں ہے؟
go straight	سیدھا جائیں
madam, what is your name?	محترمہ، آپ کا نام کیا ہے؟
kindly what do you want?	مہربانی فرما کر آپ کیا چاہتے ہیں؟
kindly where is the bus stop?	مہربانی فرما کر بس اسٹاپ کہاں ہے؟
tea?	چائے؟
please where is the hotel?	براہ کرم ہوٹل کہاں ہے؟
please go straight	براہ کرم سیدھا جائیں
madam, how much is this?	محترمہ، یہ کتنے کا ہے؟
sir, that's great	جناب، یہ بہت اچھا ہے
sir, where is the taxi stand?	جناب، ٹیکسی اسٹینڈ کہاں ہے؟
sir, where is the bus stop?	جناب، بس اسٹاپ کہاں ہے؟
wait	انتظار کریں
madam, load shedding is happening	محترمہ، لوڈ شیڈنگ ہو رہی ہے
please continue straight	براہ کرم سیدھے جاتے رہیں
kindly stop here	مہربانی فرما کر یہاں روکیں
kindly how much is the ticket?	مہربانی فرما کر ٹکٹ کتنے کا ہے؟
kindly how are you?	مہربانی فرما کر آپ کیسے ہیں؟
see you later	پھر ملیں گے
kindly slow down	مہربانی فرما کر آہستہ چلیں
sir, what is your name?	جناب، آپ کا نام کیا ہے؟
madam, i am happy	محترمہ، میں خوش ہوں
sir, slow down	جناب، آہستہ چلیں
please how are you?	براہ کرم آپ کیسے ہیں؟
kindly madam, can you help?	مہربانی فرما کر محترمہ، کیا آپ مدد کر سکتی ہیں؟
kindly please show me the way	مہربانی فرما کر راستہ بتا دیں
kindly no problem	مہربانی فرما کر کوئی مسئلہ نہیں
madam, i am busy	محترمہ، میں مصروف ہوں
sir, i am fine	جناب، میں ٹھیک ہوں
how much is this?	یہ کتنے کا ہے؟
madam, what time is it?	محترمہ، کیا وقت ہوا ہے؟
please islamabad is beautiful	براہ کرم اسلام آباد بہت خوبصورت ہے
kindly chai please	مہربانی فرما کر چائے چاہیے
please i am tired	براہ کرم میں تھک گیا ہوں
kindly turn left	مہربانی فرما کر بائیں مڑیں
kindly go straight	مہربانی فرما کر سیدھا جائیں
load shedding is happening	لوڈ شیڈنگ ہو رہی ہے
please take care	براہ کرم اپنا خیال رکھنا
sir, call a taxi	جناب، ٹیکسی بلائیں
madam, i am fine	محترمہ، میں ٹھیک ہوں
please show me the way	براہ کرم راستہ بتا دیں
sir, who are you?	جناب، آپ کون ہیں؟
madam, where do you live?	محترمہ، آپ کہاں رہتے ہیں؟
what is your name?	آپ کا نام کیا ہے؟
maybe	شاید
i love biryani	مجھے بریانی پسند ہے
madam, why is it expensive?	محترمہ، یہ مہنگا کیوں ہے؟
water?	پانی؟
please good morning	براہ کرم صبح بخیر
good evening	شام بخیر
madam, no problem	محترمہ، کوئی مسئلہ نہیں
who are you?	آپ کون ہیں؟
okay	ٹھیک ہے
stop here	یہاں روکیں
kindly i am sad	مہربانی فرما کر میں اداس ہوں
madam, where is the bus stop?	محترمہ، بس اسٹاپ کہاں ہے؟
please good evening	براہ کرم شام بخیر
madam, sir, can you help?	محترمہ، جناب، کیا آپ مدد کر سکتے ہیں؟
kindly lahore food is amazing	مہربانی فرما کر لاہور کا کھانا لاجواب ہے
i don't know	مجھے نہیں معلوم
please i like cricket	براہ کرم مجھے کرکٹ پسند ہے
