hi	ہیلو
hello	ہیلو
hey	ارے
greetings	آداب
good morning	صبح بخیر
please good morning	براہ کرم صبح بخیر
good evening	شام بخیر
please good evening	براہ کرم شام بخیر
good night	شب بخیر
please good night	براہ کرم شب بخیر
how are you?	تم کیسے ہو؟
please how are you?	براہ کرم تم کیسے ہو؟
i am fine	میں ٹھیک ہوں
please i am fine	براہ کرم میں ٹھیک ہوں
i'm good	میں اچھا ہوں
please i'm good	براہ کرم میں اچھا ہوں
thanks	شکریہ
thank you	آپ کا شکریہ
please thank you	براہ کرم آپ کا شکریہ
thank you very much	آپ کا بہت شکریہ
please thank you very much	براہ کرم آپ کا بہت شکریہ
you are welcome	خوش آمدید
please you are welcome	براہ کرم خوش آمدید
please	براہ کرم
sorry	معاف کیجئے
excuse me	معاف کیجئے گا
please excuse me	براہ کرم معاف کیجئے گا
yes	جی ہاں
no	نہیں
maybe	شاید
ok	ٹھیک ہے
okay	ٹھیک ہے
good	اچھا
bad	برا
i am happy	میں خوش ہوں
please i am happy	براہ کرم میں خوش ہوں
i am sad	میں اداس ہوں
please i am sad	براہ کرم میں اداس ہوں
i am busy	میں مصروف ہوں
please i am busy	براہ کرم میں مصروف ہوں
i am tired	میں تھک گیا ہوں
please i am tired	براہ کرم میں تھک گیا ہوں
that's great	یہ بہت اچھا ہے
please that's great	براہ کرم یہ بہت اچھا ہے
i don't know	مجھے نہیں معلوم
please i don't know	براہ کرم مجھے نہیں معلوم
no problem	کوئی مسئلہ نہیں
please no problem	براہ کرم کوئی مسئلہ نہیں
see you	پھر ملیں گے
please see you	براہ کرم پھر ملیں گے
take care	اپنا خیال رکھنا
please take care	براہ کرم اپنا خیال رکھنا
goodbye	اللہ حافظ
bye	خدا حافظ
hi	ہیلو
hello	ہیلو
hey	ارے
greetings	آداب
good morning	صبح بخیر
please good morning	براہ کرم صبح بخیر
good evening	شام بخیر
please good evening	براہ کرم شام بخیر
good night	شب بخیر
please good night	براہ کرم شب بخیر
how are you?	تم کیسے ہو؟
please how are you?	براہ کرم تم کیسے ہو؟
i am fine	میں ٹھیک ہوں
please i am fine	براہ کرم میں ٹھیک ہوں
i'm good	میں اچھا ہوں
please i'm good	براہ کرم میں اچھا ہوں
thanks	شکریہ
thank you	آپ کا شکریہ
please thank you	براہ کرم آپ کا شکریہ
thank you very much	آپ کا بہت شکریہ
please thank you very much	براہ کرم آپ کا بہت شکریہ
you are welcome	خوش آمدید
please you are welcome	براہ کرم خوش آمدید
please	براہ کرم
sorry	معاف کیجئے
excuse me	معاف کیجئے گا
please excuse me	براہ کرم معاف کیجئے گا
yes	جی ہاں
no	نہیں
maybe	شاید
ok	ٹھیک ہے
okay	ٹھیک ہے
good	اچھا
bad	برا
i am happy	میں خوش ہوں
please i am happy	براہ کرم میں خوش ہوں
i am sad	میں اداس ہوں
please i am sad	براہ کرم میں اداس ہوں
i am busy	میں مصروف ہوں
please i am busy	براہ کرم میں مصروف ہوں
i am tired	میں تھک گیا ہوں
please i am tired	براہ کرم میں تھک گیا ہوں
that's great	یہ بہت اچھا ہے
please that's great	براہ کرم یہ بہت اچھا ہے
i don't know	مجھے نہیں معلوم
please i don't know	براہ کرم مجھے نہیں معلوم
no problem	کوئی مسئلہ نہیں
please no problem	براہ کرم کوئی مسئلہ نہیں
see you	پھر ملیں گے
please see you	براہ کرم پھر ملیں گے
take care	اپنا خیال رکھنا
please take care	براہ کرم اپنا خیال رکھنا
goodbye	اللہ حافظ
bye	خدا حافظ
hi	ہیلو
hello	ہیلو
hey	ارے
greetings	آداب
good morning	صبح بخیر
please good morning	براہ کرم صبح بخیر
good evening	شام بخیر
please good evening	براہ کرم شام بخیر
good night	شب بخیر
please good night	براہ کرم شب بخیر
how are you?	تم کیسے ہو؟
please how are you?	براہ کرم تم کیسے ہو؟
i am fine	میں ٹھیک ہوں
please i am fine	براہ کرم میں ٹھیک ہوں
i'm good	میں اچھا ہوں
please i'm good	براہ کرم میں اچھا ہوں
thanks	شکریہ
thank you	آپ کا شکریہ
please thank you	براہ کرم آپ کا شکریہ
thank you very much	آپ کا بہت شکریہ
please thank you very much	براہ کرم آپ کا بہت شکریہ
you are welcome	خوش آمدید
please you are welcome	براہ کرم خوش آمدید
please	براہ کرم
sorry	معاف کیجئے
excuse me	معاف کیجئے گا
please excuse me	براہ کرم معاف کیجئے گا
yes	جی ہاں
no	نہیں
maybe	شاید
ok	ٹھیک ہے
okay	ٹھیک ہے
good	اچھا
bad	برا
i am happy	میں خوش ہوں
please i am happy	براہ کرم میں خوش ہوں
i am sad	میں اداس ہوں
please i am sad	براہ کرم میں اداس ہوں
i am busy	میں مصروف ہوں
please i am busy	براہ کرم میں مصروف ہوں
i am tired	میں تھک گیا ہوں
please i am tired	براہ کرم میں تھک گیا ہوں
that's great	یہ بہت اچھا ہے
please that's great	براہ کرم یہ بہت اچھا ہے
i don't know	مجھے نہیں معلوم
please i don't know	براہ کرم مجھے نہیں معلوم
no problem	کوئی مسئلہ نہیں
please no problem	براہ کرم کوئی مسئلہ نہیں
see you	پھر ملیں گے
please see you	براہ کرم پھر ملیں گے
take care	اپنا خیال رکھنا
please take care	براہ کرم اپنا خیال رکھنا
goodbye	اللہ حافظ
bye	خدا حافظ
hi	ہیلو
hello	ہیلو
hey	ارے
greetings	آداب
good morning	صبح بخیر
please good morning	براہ کرم صبح بخیر
good evening	شام بخیر
please good evening	براہ کرم شام بخیر
good night	شب بخیر
please good night	براہ کرم شب بخیر
how are you?	تم کیسے ہو؟
please how are you?	براہ کرم تم کیسے ہو؟
i am fine	میں ٹھیک ہوں
please i am fine	براہ کرم میں ٹھیک ہوں
i'm good	میں اچھا ہوں
please i'm good	براہ کرم میں اچھا ہوں
thanks	شکریہ
thank you	آپ کا شکریہ
please thank you	براہ کرم آپ کا شکریہ
thank you very much	آپ کا بہت شکریہ
please thank you very much	براہ کرم آپ کا بہت شکریہ
you are welcome	خوش آمدید
please you are welcome	براہ کرم خوش آمدید
please	براہ کرم
sorry	معاف کیجئے
excuse me	معاف کیجئے گا
please excuse me	براہ کرم معاف کیجئے گا
yes	جی ہاں
no	نہیں
maybe	شاید
ok	ٹھیک ہے
okay	ٹھیک ہے
good	اچھا
bad	برا
i am happy	میں خوش ہوں
please i am happy	براہ کرم میں خوش ہوں
i am sad	میں اداس ہوں
please i am sad	براہ کرم میں اداس ہوں
i am busy	میں مصروف ہوں
please i am busy	براہ کرم میں مصروف ہوں
i am tired	میں تھک گیا ہوں
please i am tired	براہ کرم میں تھک گیا ہوں
that's great	یہ بہت اچھا ہے
please that's great	براہ کرم یہ بہت اچھا ہے
i don't know	مجھے نہیں معلوم
please i don't know	براہ کرم مجھے نہیں معلوم
no problem	کوئی مسئلہ نہیں
please no problem	براہ کرم کوئی مسئلہ نہیں
see you	پھر ملیں گے
please see you	براہ کرم پھر ملیں گے
take care	اپنا خیال رکھنا
please take care	براہ کرم اپنا خیال رکھنا
goodbye	اللہ حافظ
bye	خدا حافظ
hi	ہیلو
hello	ہیلو
hey	ارے
greetings	آداب
good morning	صبح بخیر
please good morning	براہ کرم صبح بخیر
good evening	شام بخیر
please good evening	براہ کرم شام بخیر
good night	شب بخیر
please good night	براہ کرم شب بخیر
how are you?	تم کیسے ہو؟
please how are you?	براہ کرم تم کیسے ہو؟
i am fine	میں ٹھیک ہوں
please i am fine	براہ کرم میں ٹھیک ہوں
i'm good	میں اچھا ہوں
please i'm good	براہ کرم میں اچھا ہوں
thanks	شکریہ
thank you	آپ کا شکریہ
please thank you	براہ کرم آپ کا شکریہ
thank you very much	آپ کا بہت شکریہ
please thank you very much	براہ کرم آپ کا بہت شکریہ
you are welcome	خوش آمدید
please you are welcome	براہ کرم خوش آمدید
please	براہ کرم
sorry	معاف کیجئے
excuse me	معاف کیجئے گا
please excuse me	براہ کرم معاف کیجئے گا
yes	جی ہاں
no	نہیں
maybe	شاید
ok	ٹھیک ہے
okay	ٹھیک ہے
good	اچھا
bad	برا
i am happy	میں خوش ہوں
please i am happy	براہ کرم میں خوش ہوں
